"artifact","artifact_kind","generated_location","translator_location","classification","source_provenance","c1_strict_status","p4_genericity_status","notes"
"load dsl/pretype / DSL-TERM / DSL-PRETYPE / DSL-RECORD","module import and external prelude","output_bs.maude:1; dsl/pretype.maude:1-92","translator_bs.ml:4053-4057","GENERIC_SPECTEC_PRELUDE","hand-written local prelude for terminal sequences and records","needed by current C1","rename/generalize Wasm* sorts before P4","Useful generic layer, but module/file names and sort names are Wasm-specific."
"WasmTerminal / WasmTerminals","terminal carrier sorts","dsl/pretype.maude:2,11; output_bs.maude:9-16","translator_bs.ml:4060-4065 and many generic lowering sites","GENERIC_SPECTEC_PRELUDE","translator carrier representation, not a Wasm source construct","needed by current C1","major blocker: should become SpecTecTerminal / SpecTecTerminals or parameterized","Central generic carrier with Wasm-specific name."
"WasmType / WasmTypes","type/category carrier sorts","dsl/pretype.maude:3,12; output_bs.maude:13-14","translator_bs.ml:4062-4064; 1196-1234; 1355-1360","GENERIC_SPECTEC_PRELUDE","translator type/category witness representation","needed by current C1","major blocker: should become SpecTecType / SpecTecTypes or parameterized","Used for syntax category/type witnesses, not Wasm object-language types only."
"eps and sequence concatenation __","sequence prelude operator","dsl/pretype.maude:16-17","loaded by translator_bs.ml:4054","GENERIC_SPECTEC_PRELUDE","SpecTec star/list representation","needed by current C1","can stay if renamed generically","Shared sequence encoding for all SpecTec terminal lists."
"len","sequence length helper","dsl/pretype.maude:19-23","loaded by translator_bs.ml:4054","GENERIC_SPECTEC_PRELUDE","generic list/sequence helper","needed by generated rules","can stay generic","Used by source translations and footer finite-iteration helpers."
"index","sequence lookup helper","dsl/pretype.maude:39-42","loaded by translator_bs.ml:4054","GENERIC_SPECTEC_PRELUDE","generic sequence indexing helper","needed by generated rules","can stay but sort names must generalize","Some strict validation probes expose stuck index(eps, eps)-style limitations."
"record item/value/update","record prelude operators","dsl/pretype.maude:52-81","loaded by translator_bs.ml:4054","GENERIC_SPECTEC_PRELUDE","generic record literal/update support for SpecTec records","needed by current C1","can stay if generalized","Provides item, value, record update, and append behavior."
"list update _[_<-_]","sequence update helper","dsl/pretype.maude:83-94","loaded by translator_bs.ml:4054","GENERIC_SPECTEC_PRELUDE","generic sequence update support","needed by local update helpers","can stay if generalized","Overloads Nat and WasmTerminal index variants; one source of Maude import advisories."
"DSL-EXEC context module","legacy execution-context prelude","dsl/pretype.maude:97-126","not directly loaded by output_bs.maude except if imported elsewhere","LEGACY_OR_DEAD","older evaluation-context infrastructure","not used by current output_bs.maude","remove or split after confirming no external harness depends on it","Contains Env/Stage/LabelContext/FrameContext; current C1 output uses direct Step rules instead."
"Int/Nat subsorts into WasmTerminal","carrier embedding declarations","output_bs.maude:9-10","translator_bs.ml:4060-4061","GENERIC_SPECTEC_PRELUDE","translator convenience for numeric literals as terminals","needed by generated rules","rename carrier; keep idea","Generic in purpose, Wasm-specific in naming."
"Nat subsorts into N/M/K and index sorts","numeric/index embedding declarations","output_bs.maude:18-35","translator_bs.ml:4066-4083","WASM_SPECIFIC_SEMANTICS","Wasm SpecTec has nat-like indices and numeric parameters","needed by Wasm C1","must be source/category-driven for P4","Hardcoded list of Wasm index/category sorts in fixed header."
"w-bool","Bool wrapper operator","output_bs.maude:39-40","translator_bs.ml:4085-4086","GENERIC_SPECTEC_PRELUDE","translator workaround for Bool as terminal without subsort conflict","needed by current C1","can stay if renamed/generic","Useful generic mechanism, but name is ad hoc."
