source_file,source_kind,source_name,source_rule_or_case,generated_artifact,generated_line,coverage_status,isomorphism_status,executability_status,notes
wasm-3.0/0.1-aux.vars.spectec,syntax,N,syntax N hint(macro none) = nat,sort N; sort N; op $is-spectec-n,1328,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/0.1-aux.vars.spectec,syntax,M,syntax M hint(macro none) = nat,sort M; sort M; op $is-spectec-m,1317,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/0.1-aux.vars.spectec,syntax,K,syntax K hint(macro none) = nat,sort K; sort K; op K,1308,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/0.1-aux.vars.spectec,syntax,n,syntax n hint(macro none) = nat  ;; hack,sort N; sort N; op $is-spectec-n,1328,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/0.1-aux.vars.spectec,syntax,m,syntax m hint(macro none) = nat  ;; hack,sort M; sort M; op $is-spectec-m,1317,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,bit,"syntax bit  hint(desc ""bit"") = 0 | 1",sort Bit; op bit,1241,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,byte,"syntax byte hint(desc ""byte"") = 0x00 | ... | 0xFF",sort Byte; op byte,1244,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,uN,"syntax uN(N) hint(desc ""unsigned integer"") hint(show u#%) hint(macro ""uNX"") =",op uN,1210,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,sN,"syntax sN(N) hint(desc ""signed integer"") hint(show s#%) hint(macro ""sNX"") =",op sN,1178,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,iN,"syntax iN(N) hint(desc ""integer"") hint(show i#%) hint(macro ""iNX"") =",op iN,1128,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
