artifact,artifact_kind,location,source_provenance,classification,needed_for_execution,c1_status,recommended_action,notes
WasmTerminal / WasmTerminals,carrier sorts,"dsl/pretype.maude:2,11; output_bs.maude:13-16",translator carrier representation,GENERIC_SPECTEC_PRELUDE,yes,acceptable prelude but not source syntax,parameterize or rename to SpecTecTerminal / SpecTecTerminals,"Generic role; Wasm-specific spelling is a P4/generalization blocker."
WasmType / WasmTypes,type/category carrier sorts,"dsl/pretype.maude:3,12; output_bs.maude:13-14",translator type/category witness representation,GENERIC_SPECTEC_PRELUDE,yes,acceptable prelude but not source syntax,parameterize or rename to SpecTecType / SpecTecTypes,"Generic role; not exclusively object-language Wasm types."
Judgement / ValidJudgement / valid,relation proof-result layer,output_bs.maude:57-59,translator relation-result encoding,GENERIC_SPECTEC_PRELUDE,yes,acceptable C1 relation compilation infrastructure,keep as generic prelude,"Strict validation rules rewrite to valid; no eq/ceq = valid leftovers remain."
Config / State / Store / Frame,execution syntax sorts,"output_bs.maude:1244,1277,1345,1347",Wasm execution configuration source syntax,SOURCE_DERIVED,yes,C1-covered,keep source-derived generation,"The source sorts are covered; fixed header declarations around them should eventually be generated from source shape."
StepConf / StepPureConf / StepReadConf / StepsConf,wrapper result sorts,output_bs.maude:74-80,translator wrapper layer for executable relations,EXECUTION_HARNESS,yes,not direct source syntax,justify as generic relation-compilation layer or move execution control to C2,"Wrappers prevent some zero-step conditional satisfaction patterns; they are infrastructure."
step / step-pure / step-read / steps,relation wrapper operators,output_bs.maude:83-86,source relation names plus wrapper result sorts,SOURCE_DERIVED,yes,C1-covered with infrastructure,keep but document wrapper-result adaptation,"Relation names are source-derived; return wrappers are translator infrastructure."
$is-spectec-* predicates,generated category predicates,output_bs.maude:406-466 approx,derived from source syntax categories,GENERIC_SPECTEC_PRELUDE,yes,source-category-derived helper infrastructure,keep as generic category guard encoding,"Not source relations; needed for broad-carrier guard lowering and to avoid collisions with source $is-* defs."
eps / sequence concatenation / len / index / slice,sequence prelude,"dsl/pretype.maude:16-42; output_bs.maude:62",generic SpecTec star/list representation,GENERIC_SPECTEC_PRELUDE,yes,acceptable generic prelude,keep and generalize names/sorts,"Some executable limitations expose missing sequence-index list lifting, e.g. index(value('LOCALS,C), eps)."
record item/value/update/merge,record prelude,"dsl/pretype.maude:52-94; output_bs.maude:65-68",generic record representation,GENERIC_SPECTEC_PRELUDE,yes,acceptable generic prelude,keep and generalize names/sorts,"Used heavily by source contexts, stores, and harness records."
_hasType_ / TypedTerm / WellTyped,type witness layer,output_bs.maude:48-52,translator category/type witness encoding,GENERIC_SPECTEC_PRELUDE,yes,acceptable generic prelude,keep as generic witness layer,"Supports syntax/category constraints and list(syntax X) witnesses."
